generation,avg,stddev,min,max
0,-0.01,0.0,-0.01,-0.01
1,-0.010266666551045925,0.000904310272327928,-0.01333333330368371,-0.01
2,-0.010199999996817826,0.0007916227932300129,-0.013333333329086369,-0.009999999999728112
3,-0.010266666622815328,0.0009043105164498274,-0.013333333330668566,-0.009999999992542094
4,-0.010399999904993271,0.0010832048690451396,-0.013333333318772043,-0.009999999940168133
5,-0.010333333210174298,0.0009999996559568623,-0.013333333208064147,-0.009999999878756329
6,-0.010266666588058648,0.0009043106317839686,-0.013333333280715865,-0.009999998817495666
7,-0.010334429300206328,0.0010033155065934149,-0.013388192510652538,-0.009999959960065112
8,-0.010073574081141599,0.0005150965074072699,-0.013679249609190884,-0.009999579878369816
9,-0.0106555779009474,0.001444829570576581,-0.015952324780270914,-0.009999579878369816
10,-0.029799834110470783,0.13860002369886856,-1.0,-0.009998413779008088
11,-0.0097591708209781,0.0030082963904639252,-0.013576125224326824,0.009825663346722371
12,-0.00679781661120776,0.011896112731714417,-0.0131187008943267,0.05305819498081504
13,0.0012219186133569616,0.02027526900413802,-0.014602486515374102,0.05305819498081504
14,-0.01074095669201662,0.14384752100095993,-1.0,0.05305819498081504
15,0.00263005769217195,0.145987490050866,-1.0,0.05305819498081504
16,0.020638902302914975,0.029536585665958032,-0.023240479807995845,0.05305819498081504
17,-0.020383715955705744,0.2018423125746187,-1.0,0.05305819498081504
18,-0.018718201117373195,0.2024004108153364,-1.0,0.05305819498081504
19,0.027605760770160023,0.03118805791940984,-0.02221865198400099,0.10614366652808992
20,0.030412693291498025,0.036643461218075456,-0.01428104518158088,0.11169185422958529
